RetroLootPro ID,Name,Platform,Condition,Barcode,Sell Price,Market Value,Label Price,Cost Basis,Quantity,Status,Category,Item Type,Clover Category
829e4d35-e4cd-4422-84de-253ec164661a,Just Cause 3,Xbox One,CIB,662248915814,0.00,6.88,6.99,13.32,1,available,Video Games,game,Video Games
a58842de-e9d5-4670-86b2-9d2f5bac3d64,Just Dance 3,Xbox 360,CIB,008888526773,0.00,7.04,6.99,9.20,1,available,Video Games,game,Video Games
be155024-8e6d-408e-95fa-9b147ded6c13,Just Dance Wii,Wii,CIB,4902370519167,0.00,10.89,10.99,4.00,1,available,Video Games,game,Video Games
6adcffe0-98b5-48a6-a574-412afb06de7b,Just Dance Wii,Wii,CIB,4902370519167,0.00,9.99,9.99,23.19,1,available,Video Games,game,Video Games
5556b870-ea60-4777-b441-7f7a0249ddb1,Karaoke Revolution 3,PlayStation 2,CIB,083717200932,0.00,6.95,6.99,13.46,1,available,Video Games,game,Video Games
a0c0a2da-7c27-498e-973d-7b2d44d313f1,Karaoke Revolution Glee Vol 3,Xbox 360,CIB,083717301363,0.00,4.75,4.99,9.20,1,available,Video Games,game,Video Games
41043504-b4ec-4765-908b-f031c48f5664,Kelly Slater's Pro Surfer,Xbox,CIB,047875801912,0.00,8.39,7.99,10.96,1,available,Video Games,game,Video Games
92960a5f-768a-4187-9aec-bc51363a8cc8,Kinect Sports,Xbox 360,CIB,885370211337,0.00,5.44,4.99,10.53,1,available,Video Games,game,Video Games
b423e3a6-5e5a-4b6a-9d34-770308d4eab8,Kinect Star Wars,Xbox 360,CIB,023272344788,0.00,5.58,5.99,10.80,1,available,Video Games,game,Video Games
4cfaba6b-3f47-4757-af1b-df3d72e280ee,Kingdom Hearts 2,PlayStation 2,CIB,4988601004404,0.00,11.00,10.99,21.65,1,available,Video Games,game,Video Games
9c8dcf94-c703-47d4-b0b5-c5b5e088dc8b,Kingdom Hearts II Final Mix [Limited Edition],PlayStation 2,CIB,4988601004947,0.00,90.00,89.99,177.16,1,available,Video Games,game,Video Games
0d06fb56-e3ec-401f-b8c3-b8326bf00b54,Kingdom Hearts II Final Mix [Limited Edition],PlayStation 2,CIB,4988601004947,0.00,90.00,89.99,0.00,1,available,Video Games,game,Video Games
0652f939-9f16-4616-b06b-61b7aeda9bb3,Kingdom Hearts II Final Mix [Limited Edition],PlayStation 2,CIB,4988601004947,0.00,90.00,89.99,0.00,1,available,Video Games,game,Video Games
eaa56f21-0195-4171-b722-fac7c90196b4,Kings of Colorado,Book,Loose,9781439183830,9.99,9.99,9.99,0.00,1,available,Books & Media,accessory,Books & Media
c576f5d1-e94e-4b6b-90e7-910ac9c3040e,Legend,Book,Loose,9780399256752,0.00,0.00,4.99,4.99,1,available,Books & Media,accessory,Books & Media
260e1482-66a6-45f5-9c1e-de799db4236f,Legends of Wrestling,PlayStation 2,CIB,021481232650,0.00,6.82,6.99,13.20,1,available,Video Games,game,Video Games
7d3ca8de-378f-47da-967c-dd658a19e0dc,Legends of Wrestling,PlayStation 2,CIB,021481232650,0.00,6.97,6.99,4.00,1,available,Video Games,game,Video Games
5bf39f66-99e0-4bda-850e-25513834edc5,LEGO Batman 2,PlayStation 3,CIB,883929243440,0.00,6.82,6.99,13.20,1,available,Video Games,game,Video Games
7b377df1-7c4c-4a43-8c0f-a5c412da66ca,LEGO Batman 3: Beyond Gotham,PlayStation 3,CIB,883929427253,0.00,8.03,7.99,15.55,1,available,Video Games,game,Video Games
85e01459-9d3a-440e-8d66-41fa9111a5f7,LEGO Marvel Super Heroes,Xbox 360,CIB,883929319701,0.00,6.18,5.99,11.96,1,available,Video Games,game,Video Games
10b78f62-6f65-45d0-b5f3-47d86b2a17df,LEGO Marvel Super Heroes,PlayStation 3,CIB,883929319558,0.00,7.32,6.99,14.17,1,available,Video Games,game,Video Games
b3c16464-0133-444b-8829-34409de1e267,LEGO Movie Videogame,PlayStation 3,CIB,883929375325,0.00,7.75,7.99,15.00,1,available,Video Games,game,Video Games
e54f45cc-f686-4fa2-9919-ca975afbff0c,LEGO Pirates of the Caribbean: The Video Game,Xbox 360,CIB,712725021146,0.00,10.99,10.99,4.00,1,available,Video Games,game,Video Games
3767a2df-53b5-408b-a83b-a4d7ae1945a6,LEGO Rock Band,PlayStation 3,CIB,883929077793,0.00,9.52,9.99,18.43,1,available,Video Games,game,Video Games
ce7cf6b7-6026-48ab-b742-34e31dcac134,LEGO Star Wars II Original Trilogy,GameCube,CIB,023272329587,0.00,12.82,12.99,5.48,1,available,Video Games,game,Video Games
85cb3f97-2ab4-4412-98cd-3cfa08f47f6e,LEGO Star Wars III: The Clone Wars,DS,CIB,023272342654,0.00,8.50,8.99,11.11,1,available,Video Games,game,Video Games
a9d185b3-d4ae-4f51-b09c-4a346c98624a,LEGO Star Wars III: The Clone Wars,DS,CIB,023272342616,0.00,5.46,4.99,4.00,1,available,Video Games,game,Video Games
b9c46763-561b-4ff3-aa25-761c6064777e,Lightlark,Book,Loose,9781419760877,6.99,6.99,6.99,6.00,1,available,Books & Media,accessory,Books & Media
223f87db-6722-403f-89b5-c03fcac79b43,Lights Out,Book,Loose,9781638932239,14.99,14.99,14.99,12.99,1,available,Books & Media,accessory,Books & Media
8f6be7a7-001a-45d5-8955-ea155ded1f2a,LittleBigPlanet,PlayStation 3,CIB,711719819929,0.00,10.39,9.99,20.12,1,available,Video Games,game,Video Games
7ffb86d6-cc48-4f2c-9936-21d0e799cd6b,Lords of Misrule,Book,Loose,Lords of Misrule,16.99,16.99,16.99,15.00,1,available,Books,accessory,Books & Media
17da42f3-7e2b-48b9-8273-744762d4ffcb,Lupin III: Columbus no Isan wa Akenisomaru,PlayStation 2,CIB,4983164735543,0.00,14.98,14.99,29.49,1,available,Video Games,game,Video Games
c95ab2a6-52e8-4c1f-a342-0488ff81280a,Madden 07,GameCube,CIB,,0.00,6.65,6.99,2.84,1,available,Manual Entry,unknown,Video Games
ce42bd7f-4d07-4fed-9a3a-0ed6e93780ae,Madden 2003,PlayStation 2,CIB,014633145151,0.00,9.09,8.99,17.60,1,available,Video Games,game,Video Games
1516b15c-a0ae-4ff9-a791-b8d1807e0d75,Madden 2004,GameCube,CIB,,0.00,8.57,8.99,3.67,1,available,Manual Entry,unknown,Video Games
8ce209e0-45bc-478f-9698-63e08ce7332a,Madden 2006,PlayStation 2,CIB,014633149388,0.00,1.90,1.99,3.68,1,available,Video Games,game,Video Games
f6a9c9b4-09d0-4810-b876-4e228a597b2a,Madden 2008,PlayStation 2,CIB,014633154023,0.00,5.95,5.99,11.52,1,available,Video Games,game,Video Games
ca119a80-e7b1-4d47-90d8-204d35fea63c,Madden 2008,PlayStation 3,CIB,014633154283,0.00,6.33,5.99,7.14,1,available,Video Games,game,Video Games
2a258fd0-6b90-46ba-a6bf-512205787b5b,Madden 2009,PlayStation 3,CIB,014633154627,0.00,3.05,2.99,4.00,1,available,Video Games,game,Video Games
d47f0fc6-728e-47a5-8e69-bc2476546627,Madden 2009,PlayStation 3,CIB,014633154627,0.00,6.00,5.99,11.62,1,available,Video Games,game,Video Games
