id,product_name,console,condition,status,saved_selected_market_value,saved_price_loose,saved_price_cib,pc_loose,pc_cib,pc_new,pc_graded,pc_selected_market_value,delta_selected,pc_product_id,pc_product_name,pc_platform,match_strategy,flag
2b83cc72-5a8c-464a-a788-92379aa5b398,Madden NFL 12,PlayStation 3,CIB,available,4.93,3.99,4.93,4.33,0,0,0,0,-4.93,31670,Madden NFL 12,Playstation 3,title_only,ok
897dbd7f-3c71-477f-a76a-4dff4acf9c0b,Madden NFL 12 Hall of Fame Edition,PlayStation 3,CIB,available,8.65,8.65,0,8.65,0,0,0,0,-8.65,31672,Madden NFL 12 Hall of Fame Edition,Playstation 3,stored_id,ok
23f424dc-c56e-4307-80a7-61e09aad4327,Madden NFL 16,Xbox One,CIB,available,5.9,3.65,5.9,3.64,0,0,0,0,-5.9,35880,Madden NFL 16,Xbox One,title_only,ok
04a178af-252e-453e-94f1-a70e9302a0b1,Madden NFL 18,Xbox One,CIB,available,3.3,2.94,3.3,2.94,0,0,0,0,-3.3,38628,Madden NFL 18,Xbox One,stored_id,ok
101923ea-6b5d-45e6-816b-7a08e50123d0,Madden NFL 25,PlayStation 3,CIB,available,4.57,4.57,0,5.24,0,0,0,0,-4.57,34236,Madden NFL 25,Playstation 3,title_platform,ok
39c37bc2-6e70-452b-89be-35bc7fdd69f8,Major League Baseball 2K10,Xbox 360,CIB,available,6.06,3.95,6.06,3.95,0,0,0,0,-6.06,20999,Major League Baseball 2K10,Xbox 360,stored_id,ok
76b03b07-fc49-4c69-a688-4ef131b91021,Mario & Sonic at the Olympic Games,DS,CIB,available,10.25,8.74,10.25,8.15,0,0,0,0,-10.25,11903,Mario and Sonic at the Olympic Games,Nintendo DS,stored_id,ok
cdda6c29-48d1-46b1-96fd-5a7949d5ba40,Maximo,PlayStation 2,CIB,available,16.37,9.96,16.37,9.96,0,0,0,0,-16.37,72355,Maximo,JP Playstation 2,stored_id,ok
9b80b730-30a7-47f2-a8bc-b62887e74dd6,MLB 07 The Show,PlayStation 3,CIB,available,7.47,4.42,7.47,4.48,0,0,0,0,-7.47,5473,MLB 07 The Show,Playstation 2,stored_id,ok
df0113d2-66e0-4119-bb92-40278391e510,MLB 08 The Show,PlayStation 3,CIB,available,3.51,3.51,0,3.51,0,0,0,0,-3.51,11921,MLB 08 The Show,Playstation 3,title_only,ok
1c7d2f97-12f5-458f-a38d-9155d44990b9,MLB 10 The Show,PlayStation 3,CIB,available,6.96,3.49,6.96,3.49,0,0,0,0,-6.96,20996,MLB 10 The Show,Playstation 3,title_only,ok
